date,result
2022-02-28,Success
2022-02-20,Success
2022-02-12,Success
2022-02-04,Success
2022-01-27,Success
2022-01-19,Success
2022-01-11,Success
2022-01-03,Success
2021-12-25,Success
2021-12-16,Success
2021-12-08,Success
2021-11-30,Success
2021-11-22,Success
2021-11-13,Success
2021-11-04,Fail
2021-10-28,Fail
2021-10-20,Fail
2021-10-12,Fail
2021-10-05,Fail
2021-09-27,Fail
2021-09-20,Fail
2021-09-13,Fail
2021-09-03,Fail
2021-08-26,Fail
2021-08-18,Fail
2021-08-10,Fail
2021-08-02,Fail
2021-07-23,Fail
2021-07-15,Fail
2021-07-07,Fail
2021-06-29,Success
2021-06-21,Success
2021-06-12,Success
2021-06-04,Success
2021-05-26,Success
2021-05-18,Fail
2021-05-10,Fail
2021-05-01,Fail
2021-04-23,Fail
2021-04-15,Fail
2021-04-07,Fail
2021-03-30,Fail
2021-03-23,Fail
2021-03-15,Fail
2021-03-07,Success
2021-02-27,Success
2021-02-19,Success
2021-02-11,Success
2021-02-03,Success
2021-01-26,Success
2021-01-18,Success
2021-01-09,Success
2020-12-31,Success
2020-12-23,Success
2020-12-15,Success
2020-12-07,Success
2020-11-30,Success
2020-11-22,Success
2020-11-14,Success
2020-11-05,Success
2020-10-27,Success
2020-10-19,Success
2020-10-10,Success
2020-10-02,Success
2020-09-24,Success
2020-09-16,Success
2020-09-08,Fail
2020-08-31,Fail
2020-08-23,Fail
2020-08-13,Fail
2020-08-05,Fail
2020-07-28,Fail
2020-07-20,Fail
2020-07-11,Fail
2020-07-03,Fail
2020-06-25,Fail
2020-06-17,Fail
2020-06-09,Fail
2020-06-01,Fail
2020-05-22,Fail
2020-05-14,Fail
2020-05-05,Fail
2020-04-27,Fail
2020-04-19,Fail
2020-04-11,Fail
2020-04-03,Fail
2020-03-26,Fail
2020-03-18,Fail
2020-03-10,Fail
2020-03-02,Fail
2020-02-21,Fail
2020-02-13,Fail
2020-02-05,Fail
2020-01-28,Fail
2020-01-20,Fail
2020-01-12,Fail
2020-01-03,Fail
2019-12-25,Fail
2019-12-03,Fail
2019-12-02,Fail